ticker,sector,name
RELIANCE.NS,Energy,Reliance Industries
ONGC.NS,Energy,Oil and Natural Gas Corporation
IOC.NS,Energy,Indian Oil Corporation
BPCL.NS,Energy,Bharat Petroleum
GAIL.NS,Energy,GAIL India
HINDPETRO.NS,Energy,Hindustan Petroleum
PETRONET.NS,Energy,Petronet LNG
OIL.NS,Energy,Oil India
GUJGASLTD.NS,Energy,Gujarat Gas
IGL.NS,Energy,Indraprastha Gas
MGL.NS,Energy,Mahanagar Gas
ADANIENSO.NS,Energy,Adani Energy Solutions
CESC.NS,Energy,CESC
AEGISCHEM.NS,Energy,Aegis Logistics
CASTROLIND.NS,Energy,Castrol India
GSPL.NS,Energy,Gujarat State Petronet
MRPL.NS,Energy,Mangalore Refinery
CHENNPETRO.NS,Energy,Chennai Petroleum
GNFC.NS,Energy,Gujarat Narmada Valley Fertilizers
HDFCBANK.NS,Financial Services,HDFC Bank
ICICIBANK.NS,Financial Services,ICICI Bank
KOTAKBANK.NS,Financial Services,Kotak Mahindra Bank
SBIN.NS,Financial Services,State Bank of India
AXISBANK.NS,Financial Services,Axis Bank
BAJFINANCE.NS,Financial Services,Bajaj Finance
BAJAJFINSV.NS,Financial Services,Bajaj Finserv
INDUSINDBK.NS,Financial Services,IndusInd Bank
BANDHANBNK.NS,Financial Services,Bandhan Bank
PNB.NS,Financial Services,Punjab National Bank
BANKBARODA.NS,Financial Services,Bank of Baroda
IDFCFIRSTB.NS,Financial Services,IDFC First Bank
FEDERALBNK.NS,Financial Services,Federal Bank
AUBANK.NS,Financial Services,AU Small Finance Bank
CHOLAFIN.NS,Financial Services,Cholamandalam Investment
MUTHOOTFIN.NS,Financial Services,Muthoot Finance
SBICARD.NS,Financial Services,SBI Cards
HDFCAMC.NS,Financial Services,HDFC AMC
ICICIGI.NS,Financial Services,ICICI Lombard
SBILIFE.NS,Financial Services,SBI Life Insurance
HDFCLIFE.NS,Financial Services,HDFC Life Insurance
ICICIPRULI.NS,Financial Services,ICICI Prudential Life
MANAPPURAM.NS,Financial Services,Manappuram Finance
CANBK.NS,Financial Services,Canara Bank
UNIONBANK.NS,Financial Services,Union Bank of India
INDIANB.NS,Financial Services,Indian Bank
BANKINDIA.NS,Financial Services,Bank of India
CENTRALBK.NS,Financial Services,Central Bank of India
IDBI.NS,Financial Services,IDBI Bank
MAHABANK.NS,Financial Services,Bank of Maharashtra
IOB.NS,Financial Services,Indian Overseas Bank
RECLTD.NS,Financial Services,REC
PFC.NS,Financial Services,Power Finance Corporation
IREDA.NS,Financial Services,Indian Renewable Energy Development Agency
LICHSGFIN.NS,Financial Services,LIC Housing Finance
IIFL.NS,Financial Services,IIFL Finance
POONAWALLA.NS,Financial Services,Poonawalla Fincorp
SHRIRAMFIN.NS,Financial Services,Shriram Finance
M&MFIN.NS,Financial Services,Mahindra & Mahindra Financial
SUNDARMFIN.NS,Financial Services,Sundaram Finance
ABCAPITAL.NS,Financial Services,Aditya Birla Capital
MFSL.NS,Financial Services,Max Financial Services
STARHEALTH.NS,Financial Services,Star Health Insurance
NIACL.NS,Financial Services,New India Assurance
GICRE.NS,Financial Services,General Insurance Corporation
MCX.NS,Financial Services,Multi Commodity Exchange
BSE.NS,Financial Services,BSE
CDSL.NS,Financial Services,Central Depository Services
CAMS.NS,Financial Services,Computer Age Management Services
KFINTECH.NS,Financial Services,KFin Technologies
TCS.NS,Technology,Tata Consultancy Services
INFY.NS,Technology,Infosys
WIPRO.NS,Technology,Wipro
HCLTECH.NS,Technology,HCL Technologies
TECHM.NS,Technology,Tech Mahindra
LTIM.NS,Technology,LTIMindtree
PERSISTENT.NS,Technology,Persistent Systems
COFORGE.NS,Technology,Coforge
MPHASIS.NS,Technology,Mphasis
LTTS.NS,Technology,L&T Technology Services
TATAELXSI.NS,Technology,Tata Elxsi
CYIENT.NS,Technology,Cyient
OFSS.NS,Technology,Oracle Financial Services
ROUTE.NS,Technology,Route Mobile
KPITTECH.NS,Technology,KPIT Technologies
